3o-HDCA;BA	BA	389.2697	11.8603	35.9248	25.4223
3o-HDCA;BA-6S	BA-S	469.2265	12.6473	47.655	37.7186
3o-HDCA;GBA	GBA	446.2912	12.2969	50.1315	41.9535
3o-HDCA;GBA-6S	GBA-S	262.62035	10.5694	48.0284	28.512
3o-HDCA;TBA	TBA	496.2738	12.4531	49.9465	40.9326
3o-HDCA;TBA-6S	TBA-S	287.61165	10.9113	50.0958	31.0823
6o-alloMDCA;BA	BA	389.2697	11.8997	35.7803	25.4868
6o-alloMDCA;BA-3S	BA-S	469.2265	13.8775	54.0107	46.4208
6o-alloMDCA;GBA	GBA	446.2912	11.8819	46.5375	36.2612
6o-alloMDCA;GBA-3S	GBA-S	526.248	12.2577	57.0229	43.2799
6o-alloMDCA;TBA	TBA	496.2738	12.7761	51.34	43.3354
6o-alloMDCA;TBA-3S	TBA-S	576.2306	12.1606	54.6053	34.4833
6o-HDCA;BA	BA	389.2697	11.4916	34.3486	23.264
6o-HDCA;BA-3S	BA-S	469.2265	13.4628	51.0867	41.3774
6o-HDCA;GBA	GBA	446.2912	12.3769	50.4827	42.3126
6o-HDCA;GBA-3S	GBA-S	262.62035	12.4815	58.8943	47.4589
6o-HDCA;TBA	TBA	496.2738	12.4796	50.088	41.1191
6o-HDCA;TBA-3S	TBA-S	287.61165	12.6647	59.6413	46.9586
7o-CDCA;BA	BA	389.2697	12.0907	36.293	25.9165
7o-CDCA;BA-3S	BA-S	469.2265	13.4943	50.5338	41.0225
7o-CDCA;GBA	GBA	446.2912	12.6362	49.9831	41.9039
7o-CDCA;GBA-3S	GBA-S	262.62035	11.5791	50.4568	31.9942
7o-CDCA;TBA	TBA	496.2738	13.0635	52.0493	44.919
7o-CDCA;TBA-3S	TBA-S	287.61165	11.5813	49.7764	28.0554
apoCA;BA	BA	389.2697	12.1903	35.5617	24.3729
apoCA;GBA	GBA	446.2912	13.5213	51.6919	42.3266
apoCA;TBA	TBA	496.2738	13.7478	52.4488	43.3
12o-d9-DCA;BA	BA	387.2541	11.8588	36.5516	26.6044
12o-d9-DCA;BA-3S	BA-S	467.2109	13.1375	51.6269	43.833
12o-d9-DCA;GBA	GBA	444.2756	12.0822	48.1069	39.6879
12o-d9-DCA;GBA-3S	GBA-S	261.61255	11.7896	56.1333	44.6043
12o-d9-DCA;TBA	TBA	494.2582	12.4078	49.4132	41.3725
12o-d9-DCA;TBA-3S	TBA-S	286.6039	11.7293	54.8336	39.4592
3,12-2o-DCA;BA	BA	387.2541	11.1704	31.9991	21.8447
3,12-2o-DCA;GBA	GBA	444.2756	11.3991	43.1415	34.2092
3,12-2o-DCA;TBA	TBA	494.2582	11.6873	44.1598	35.4164
3,6-2o-HDCA;BA	BA	387.2541	11.4722	32.7437	22.2005
3,6-2o-HDCA;GBA	GBA	444.2756	11.4898	44.0633	35.105
3,6-2o-HDCA;TBA	TBA	494.2582	11.8115	45.0923	36.1813
3,7-2o-CDCA;BA	BA	387.2541	10.9842	30.3247	19.4243
3,7-2o-CDCA;GBA	GBA	444.2756	11.3863	43.2333	34.0227
3,7-2o-CDCA;TBA	TBA	494.2582	11.6245	43.8636	34.4692
3o-d4-CDCA;BA	BA	387.2541	12.5355	40.4316	31.5488
iso-d5-7o-CDCA;BA	BA	387.2541	11.7316	38.1639	28.8892
iso-d5-7o-CDCA;BA-3S	BA-S	467.2109	13.2131	51.226	42.0491
iso-d5-7o-CDCA;GBA	GBA	444.2756	11.8686	52.6605	46.459
iso-d5-7o-CDCA;TBA	TBA	494.2582	12.1021	53.1056	46.4497
12-epiCA;BA	BA	407.2803	11.2214	46.5938	43.9333
12-epiCA;GBA	GBA	464.3017	10.2356	50.556	45.0768
12-epiCA;TBA	TBA	514.2844	10.4924	51.5082	46.7976
alloCA;BA	BA	407.2803	12.4384	48.3601	40.7824
alloCA;GBA	GBA	464.3017	12.3702	47.7256	36.6697
alloCA;TBA	TBA	514.2844	12.5081	48.2904	37.7116
a-MCA;BA	BA	407.2803	12.0242	44.1046	37.3619
a-MCA;GBA	GBA	464.3017	11.181	52.006	46.3863
a-MCA;TBA	TBA	514.2844	11.6229	53.8459	47.8374
b-MCA;BA	BA	407.2803	12.5363	48.2073	43.3022
b-MCA;GBA	GBA	464.3017	11.2829	52.5542	45.8094
b-MCA;TBA	TBA	514.2844	11.6759	54.6184	51.1926
CA;BA	BA	407.2803	12.2968	40.0038	29.5891
CA;BA-7S	BA-S	487.2371	13.3135	53.9083	46.2063
CA;BA-3S	BA-S	487.2371	13.5813	54.1539	46.1055
CA;GBA	GBA	464.3017	12.951	52.4417	43.401
CA;GBA-3S	GBA-S	544.2586	12.4889	58.9181	47.2626
CA;TBA	TBA	514.2844	13.1414	52.8965	43.9151
CA;TBA-3S	TBA-S	594.2412	12.4058	57.5722	42.6897
DCA-1b-ol;BA	BA	407.2803	12.6038	49.4014	44.82
DCA-1b-ol;GBA	GBA	464.3017	11.3934	53.1868	46.4004
DCA-1b-ol;TBA	TBA	514.2844	11.668	54.3073	48.1697
HCA;BA	BA	407.2803	13.355	48.1964	41.2967
HCA;GBA	GBA	464.3017	12.3862	53.3716	44.3632
HCA;TBA	TBA	514.2844	13.0065	57.2015	51.7181
isoCA;BA	BA	407.2803	11.8155	44.9321	38.3976
isoCA;GBA	GBA	464.3017	11.7538	56.2257	53.1277
isoCA;TBA	TBA	514.2844	11.622	53.6188	46.8184
UCA;BA	BA	407.2803	11.2223	45.7865	41.6303
UCA;GBA	GBA	464.3017	10.4185	50.053	44.3025
UCA;TBA	TBA	514.2844	10.6832	51.195	46.4821
w-MCA;BA	BA	407.2803	12.5994	49.6076	45.4446
w-MCA;GBA	GBA	464.3017	11.345	54.3661	49.4639
w-MCA;TBA	TBA	514.2844	11.6342	55.2503	50.8025
12o-CA;BA	BA	405.2646	12.0549	44.6286	38.2601
12o-CA;GBA	GBA	462.2861	11.6698	52.3579	46.3087
12o-CA;TBA	TBA	512.2687	11.9402	53.3293	47.7055
3o-CA;BA	BA	405.2646	12.0939	41.1943	33.0297
3o-CA;GBA	GBA	462.2861	11.9918	49.7206	41.7702
3o-CA;TBA	TBA	512.2687	12.2878	50.9346	43.6654
7o-CA;BA	BA	405.2646	12.3602	47.2249	42.8198
